typ﻿Date,E80,RCC80
10/1/1928,0.13,0.13
10/2/1928,0.16,0.16
10/3/1928,0.23,0.23
10/4/1928,0.3,0.3
10/5/1928,0.38,0.37
10/6/1928,0.45,0.45
10/7/1928,0.54,0.54
10/8/1928,0.65,0.65
10/9/1928,0.75,0.75
10/10/1928,0.82,0.82
10/11/1928,0.88,0.89
10/12/1928,0.93,0.93
10/13/1928,0.96,0.97
10/14/1928,1,1.02
10/15/1928,1.06,1.07
10/16/1928,1.13,1.14
10/17/1928,1.17,1.19
10/18/1928,1.21,1.23
10/19/1928,1.26,1.27
10/20/1928,1.31,1.3
10/21/1928,1.34,1.34
10/22/1928,1.41,1.41
10/23/1928,1.47,1.47
10/24/1928,1.52,1.52
10/25/1928,1.56,1.57
10/26/1928,1.61,1.6
10/27/1928,1.65,1.64
10/28/1928,1.7,1.68
10/29/1928,1.75,1.73
10/30/1928,1.81,1.79
10/31/1928,1.84,1.82
11/1/1928,1.95,1.84
11/2/1928,2.21,1.84
11/3/1928,2.25,2.01
11/4/1928,2.3,2.3
11/5/1928,2.39,2.33
11/6/1928,2.44,2.41
11/7/1928,2.49,2.48
11/8/1928,2.53,2.54
11/9/1928,2.59,2.6
11/10/1928,2.65,2.67
11/11/1928,2.77,2.89
11/12/1928,3.02,3.11
11/13/1928,3.01,2.94
11/14/1928,2.89,2.82
11/15/1928,2.78,2.71
11/16/1928,2.72,2.7
11/17/1928,2.67,2.7
11/18/1928,2.66,2.75
11/19/1928,2.65,2.75
11/20/1928,2.68,2.71
11/21/1928,2.7,2.7
11/22/1928,2.68,2.7
11/23/1928,2.64,2.71
11/24/1928,2.63,2.74
11/25/1928,2.63,2.74
11/26/1928,2.64,2.72
11/27/1928,2.65,2.72
11/28/1928,2.64,2.71
11/29/1928,2.64,2.7
11/30/1928,2.65,2.71
12/1/1928,2.62,2.7
12/2/1928,2.59,2.68
12/3/1928,2.53,2.67
12/4/1928,2.47,2.68
12/5/1928,2.41,2.7
12/6/1928,2.36,2.79
12/7/1928,2.35,3.76
12/8/1928,2.37,4.69
12/9/1928,2.46,4.74
12/10/1928,2.51,4.75
12/11/1928,2.51,4.77
12/12/1928,3.46,4.83
12/13/1928,4.52,4.98
12/14/1928,4.55,5.22
12/15/1928,4.54,5.2
12/16/1928,4.49,5.01
12/17/1928,4.52,4.75
12/18/1928,4.61,4.69
12/19/1928,4.8,4.76
12/20/1928,4.89,4.71
12/21/1928,4.75,4.59
12/22/1928,4.6,4.29
12/23/1928,4.37,4.11
12/24/1928,4.22,4
12/25/1928,4.2,3.89
12/26/1928,4.24,3.62
12/27/1928,4.23,3.44
12/28/1928,4.15,3.19
12/29/1928,3.99,2.78
12/30/1928,3.75,2.54
12/31/1928,3.62,2.32
1/1/1929,3.53,2.19
1/2/1929,3.41,2
1/3/1929,3.27,1.8
1/4/1929,3.14,1.63
1/5/1929,2.98,1.49
1/6/1929,2.81,1.41
1/7/1929,2.63,1.34
1/8/1929,2.46,1.27
1/9/1929,2.29,1.2
1/10/1929,2.12,1.12
1/11/1929,1.93,1.02
1/12/1929,1.7,0.88
1/13/1929,1.45,0.79
1/14/1929,1.28,0.7
1/15/1929,1.18,0.58
1/16/1929,1.08,0.44
1/17/1929,1,0.33
1/18/1929,0.88,0.2
1/19/1929,0.73,0.05
1/20/1929,0.56,0
1/21/1929,0.45,0
1/22/1929,0.35,0
1/23/1929,0.2,0
1/24/1929,0.08,0
1/25/1929,0,0
1/26/1929,0,0
1/27/1929,0,0
1/28/1929,0,0
1/29/1929,0,0
1/30/1929,0,0
1/31/1929,0,0
2/1/1929,0,0
2/2/1929,0,0
2/3/1929,0,0
2/4/1929,0,0
2/5/1929,0,0
2/6/1929,0,0
2/7/1929,0,0
2/8/1929,0,0
2/9/1929,0,0
2/10/1929,0,0
2/11/1929,0,0
2/12/1929,0,0
2/13/1929,0,0
2/14/1929,0,0
2/15/1929,0,0
2/16/1929,0,0
2/17/1929,0,0
2/18/1929,0,0
2/19/1929,0,0
2/20/1929,0,0
2/21/1929,0,0
2/22/1929,0,0
2/23/1929,0.01,0.01
2/24/1929,0.01,0.01
2/25/1929,0.01,0.01
2/26/1929,0.01,0.01
2/27/1929,0.02,0.02
2/28/1929,0.03,0.03
3/1/1929,0.06,0.06
3/2/1929,0.1,0.1
3/3/1929,0.14,0.14
3/4/1929,0.18,0.18
3/5/1929,0.22,0.22
3/6/1929,0.25,0.25
3/7/1929,0.3,0.3
3/8/1929,0.35,0.35
3/9/1929,0.41,0.41
3/10/1929,0.47,0.46
3/11/1929,0.51,0.51
3/12/1929,0.55,0.55
3/13/1929,0.61,0.6
3/14/1929,0.67,0.65
3/15/1929,0.73,0.71
3/16/1929,0.78,0.76
3/17/1929,0.83,0.81
3/18/1929,0.88,0.87
3/19/1929,0.94,0.92
3/20/1929,1.02,1
3/21/1929,1.07,1.05
3/22/1929,1.1,1.08
3/23/1929,1.15,1.13
3/24/1929,1.19,1.18
3/25/1929,1.25,1.24
3/26/1929,1.32,1.32
3/27/1929,1.39,1.38
3/28/1929,1.45,1.44
3/29/1929,1.49,1.48
3/30/1929,1.54,1.55
3/31/1929,1.6,1.62
4/1/1929,1.65,1.69
4/2/1929,1.72,1.76
4/3/1929,1.8,1.83
4/4/1929,1.87,1.9
4/5/1929,1.93,1.95
4/6/1929,1.98,2.02
4/7/1929,2.03,2.06
4/8/1929,2.07,2.1
4/9/1929,2.13,2.17
4/10/1929,2.18,2.22
4/11/1929,2.23,2.28
4/12/1929,2.3,2.36
4/13/1929,2.37,2.43
4/14/1929,2.44,2.51
4/15/1929,2.53,2.62
4/16/1929,2.61,2.7
4/17/1929,2.71,2.79
4/18/1929,2.82,2.89
4/19/1929,2.95,3
4/20/1929,3.05,3.09
4/21/1929,3.16,3.19
4/22/1929,3.28,3.32
4/23/1929,3.4,3.45
4/24/1929,3.53,3.59
4/25/1929,3.67,3.73
4/26/1929,3.84,3.87
4/27/1929,3.97,4.01
4/28/1929,4.11,4.15
4/29/1929,4.21,4.24
4/30/1929,4.33,4.38
5/1/1929,4.46,4.51
5/2/1929,4.58,4.62
5/3/1929,4.68,4.74
5/4/1929,4.8,4.81
