Date	E80	RCC	E80	RCC80
10/1/1928	80026	74965	0.13	0.13
10/2/1928	76508	71446	0.16	0.16
10/3/1928	73941	68879	0.23	0.23
10/4/1928	71345	66285	0.3	0.3
10/5/1928	65239	60177	0.38	0.37
10/6/1928	63995	58934	0.45	0.45
10/7/1928	67333	62384	0.54	0.54
10/8/1928	71971	67199	0.65	0.65
10/9/1928	74961	69499	0.75	0.75
10/10/1928	72701	67640	0.82	0.82
10/11/1928	66205	61144	0.88	0.89
10/12/1928	67694	62633	0.93	0.93
10/13/1928	69861	65089	0.96	0.97
10/14/1928	68482	64482	1	1.02
10/15/1928	68693	64811	1.06	1.07
10/16/1928	70049	66166	1.13	1.14
10/17/1928	75479	70194	1.17	1.19
10/18/1928	76933	71372	1.21	1.23
10/19/1928	72472	66811	1.26	1.27
10/20/1928	68335	62497	1.31	1.3
10/21/1928	67110	61549	1.34	1.34
10/22/1928	66493	61050	1.41	1.41
10/23/1928	63980	58873	1.47	1.47
10/24/1928	61917	57580	1.52	1.52
10/25/1928	62131	58130	1.56	1.57
10/26/1928	62057	58511	1.61	1.6
10/27/1928	61971	58088	1.65	1.64
10/28/1928	60669	57123	1.7	1.68
10/29/1928	61352	57806	1.75	1.73
10/30/1928	62857	59309	1.81	1.79
10/31/1928	61169	57623	1.84	1.82
11/1/1928	66341	80652	1.95	1.84
11/2/1928	67352	82025	2.21	1.84
11/3/1928	71460	87082	2.25	2.01
11/4/1928	67394	86001	2.3	2.3
11/5/1928	70881	89487	2.39	2.33
11/6/1928	70018	88625	2.44	2.41
11/7/1928	67133	85739	2.49	2.48
11/8/1928	67837	86445	2.53	2.54
11/9/1928	69556	88163	2.59	2.6
11/10/1928	70587	89193	2.65	2.67
11/11/1928	71785	90392	2.77	2.89
11/12/1928	74346	92953	3.02	3.11
11/13/1928	73922	92529	3.01	2.94
11/14/1928	74041	92648	2.89	2.82
11/15/1928	73731	92337	2.78	2.71
11/16/1928	71120	89726	2.72	2.7
11/17/1928	69700	88307	2.67	2.7
11/18/1928	68267	86874	2.66	2.75
11/19/1928	68675	87282	2.65	2.75
11/20/1928	69510	88116	2.68	2.71
11/21/1928	67434	86040	2.7	2.7
11/22/1928	65531	84137	2.68	2.7
11/23/1928	65500	84107	2.64	2.71
11/24/1928	66153	84760	2.63	2.74
11/25/1928	66205	84812	2.63	2.74
11/26/1928	67240	85846	2.64	2.72
11/27/1928	66400	85007	2.65	2.72
11/28/1928	65285	83893	2.64	2.71
11/29/1928	65095	83701	2.64	2.7
11/30/1928	66341	84948	2.65	2.71
12/1/1928	73999	79735	2.62	2.7
12/2/1928	71500	77235	2.59	2.68
12/3/1928	69880	75616	2.53	2.67
12/4/1928	68710	74446	2.47	2.68
12/5/1928	67323	73058	2.41	2.7
12/6/1928	66084	71819	2.36	2.79
12/7/1928	63040	68776	2.35	3.76
12/8/1928	62512	68247	2.37	4.69
12/9/1928	63295	69031	2.46	4.74
12/10/1928	65403	71139	2.51	4.75
12/11/1928	67214	72949	2.51	4.77
12/12/1928	69288	75023	3.46	4.83
12/13/1928	74603	80338	4.52	4.98
12/14/1928	91600	97336	4.55	5.22
12/15/1928	91263	96998	4.54	5.2
12/16/1928	88742	94477	4.49	5.01
12/17/1928	85772	91508	4.52	4.75
12/18/1928	87229	92964	4.61	4.69
12/19/1928	88168	93904	4.8	4.76
12/20/1928	87744	93479	4.89	4.71
12/21/1928	87822	93558	4.75	4.59
12/22/1928	87578	93313	4.6	4.29
12/23/1928	87638	93374	4.37	4.11
12/24/1928	88268	94003	4.22	4
12/25/1928	88380	94115	4.2	3.89
12/26/1928	88751	94486	4.24	3.62
12/27/1928	88811	94546	4.23	3.44
12/28/1928	88692	94428	4.15	3.19
12/29/1928	89141	94877	3.99	2.78
12/30/1928	90247	95983	3.75	2.54
12/31/1928	90449	96184	3.62	2.32
1/1/1929	67138	85151	3.53	2.19
1/2/1929	72406	90419	3.41	2
1/3/1929	71694	89707	3.27	1.8
1/4/1929	70197	88209	3.14	1.63
1/5/1929	69703	87717	2.98	1.49
1/6/1929	70173	88186	2.81	1.41
1/7/1929	69353	87366	2.63	1.34
1/8/1929	70314	88326	2.46	1.27
1/9/1929	71363	89376	2.29	1.2
1/10/1929	69893	87906	2.12	1.12
1/11/1929	70448	88461	1.93	1.02
1/12/1929	71741	89754	1.7	0.88
1/13/1929	72559	90572	1.45	0.79
1/14/1929	71796	89809	1.28	0.7
1/15/1929	70989	89002	1.18	0.58
1/16/1929	70384	88397	1.08	0.44
1/17/1929	71017	89030	1	0.33
1/18/1929	69873	87887	0.88	0.2
1/19/1929	68544	86556	0.73	0.05
1/20/1929	67327	85340	0.56	0
1/21/1929	65792	83805	0.45	0
1/22/1929	64076	82089	0.35	0
1/23/1929	62415	80427	0.2	0
1/24/1929	63956	81970	0.08	0
1/25/1929	65170	83183	0	0
1/26/1929	64900	82913	0	0
1/27/1929	63869	81883	0	0
1/28/1929	63111	81123	0	0
1/29/1929	64237	82250	0	0
1/30/1929	65340	83353	0	0
1/31/1929	64652	82665	0	0
2/1/1929	47626	85756	0	0
2/2/1929	48208	88277	0	0
2/3/1929	47102	88647	0	0
2/4/1929	47210	88235	0	0
2/5/1929	48050	88243	0	0
2/6/1929	49140	89332	0	0
2/7/1929	48405	88598	0	0
2/8/1929	48009	88202	0	0
2/9/1929	47200	87393	0	0
2/10/1929	47523	87379	0	0
2/11/1929	47570	88050	0	0
2/12/1929	47784	88026	0	0
2/13/1929	48090	88283	0	0
2/14/1929	48414	88606	0	0
2/15/1929	48192	88384	0	0
2/16/1929	47575	87768	0	0
2/17/1929	46980	87155	0	0
2/18/1929	47035	86876	0	0
2/19/1929	47657	87713	0	0
2/20/1929	47954	88651	0	0
2/21/1929	49039	89232	0	0
2/22/1929	48738	88931	0	0
2/23/1929	48986	89178	0.01	0.01
2/24/1929	48840	89033	0.01	0.01
2/25/1929	48620	88812	0.01	0.01
2/26/1929	49154	89346	0.01	0.01
2/27/1929	49513	89706	0.02	0.02
2/28/1929	49118	89310	0.03	0.03
3/1/1929	46647	52358	0.06	0.06
3/2/1929	46715	52401	0.1	0.1
3/3/1929	46508	56183	0.14	0.14
3/4/1929	47178	57676	0.18	0.18
3/5/1929	47922	58810	0.22	0.22
3/6/1929	48903	59598	0.25	0.25
3/7/1929	46443	61069	0.3	0.3
3/8/1929	46996	60812	0.35	0.35
3/9/1929	47839	63506	0.41	0.41
3/10/1929	46736	64057	0.47	0.46
3/11/1929	47503	64436	0.51	0.51
3/12/1929	47499	64931	0.55	0.55
3/13/1929	46362	64121	0.61	0.6
3/14/1929	46512	62894	0.67	0.65
3/15/1929	47383	63770	0.73	0.71
3/16/1929	47627	66819	0.78	0.76
3/17/1929	46421	67571	0.83	0.81
3/18/1929	46966	67146	0.88	0.87
3/19/1929	48148	67076	0.94	0.92
3/20/1929	56475	71156	1.02	1
3/21/1929	58830	72662	1.07	1.05
3/22/1929	68317	74253	1.1	1.08
3/23/1929	70608	76543	1.15	1.13
3/24/1929	68021	73956	1.19	1.18
3/25/1929	66875	72810	1.25	1.24
3/26/1929	67096	73032	1.32	1.32
3/27/1929	67232	73168	1.39	1.38
3/28/1929	65686	71622	1.45	1.44
3/29/1929	62345	68280	1.49	1.48
3/30/1929	66670	72606	1.54	1.55
3/31/1929	74797	80732	1.6	1.62
4/1/1929	62991	80264	1.65	1.69
4/2/1929	62787	74157	1.72	1.76
4/3/1929	62496	67750	1.8	1.83
4/4/1929	62457	64478	1.87	1.9
4/5/1929	63185	63439	1.93	1.95
4/6/1929	63666	68751	1.98	2.02
4/7/1929	63633	69835	2.03	2.06
4/8/1929	63670	69940	2.07	2.1
4/9/1929	62922	68694	2.13	2.17
4/10/1929	63316	67981	2.18	2.22
4/11/1929	63077	67045	2.23	2.28
4/12/1929	63920	67654	2.3	2.36
4/13/1929	63800	68800	2.37	2.43
4/14/1929	63311	69862	2.44	2.51
4/15/1929	64364	72073	2.53	2.62
4/16/1929	63735	78954	2.61	2.7
4/17/1929	63475	81491	2.71	2.79
4/18/1929	63641	82940	2.82	2.89
4/19/1929	63749	83049	2.95	3
4/20/1929	64280	84229	3.05	3.09
4/21/1929	64566	86375	3.16	3.19
4/22/1929	64656	89058	3.28	3.32
4/23/1929	65304	91554	3.4	3.45
4/24/1929	66109	99633	3.53	3.59
4/25/1929	63183	104522	3.67	3.73
4/26/1929	63881	104742	3.84	3.87
4/27/1929	64185	104224	3.97	4.01
4/28/1929	112662	106693	4.11	4.15
4/29/1929	138645	115017	4.21	4.24
4/30/1929	146655	123213	4.33	4.38
5/1/1929	97679	83257	4.46	4.51
5/2/1929	105993	90889	4.58	4.62
5/3/1929	109977	93855	4.68	4.74
5/4/1929	102890	86698	4.8	4.81
5/5/1929	102344	86593	4.92	4.91
5/6/1929	108697	92834	5.08	5.05
5/7/1929	105802	90163	5.23	5.23
5/8/1929	99024	85489	5.31	5.34
5/9/1929	94055	79284	5.47	5.48
5/10/1929	96518	79710	5.67	5.63
5/11/1929	98489	83222	5.97	5.86
5/12/1929	97771	81386	6.28	6.15
5/13/1929	98902	79918	6.59	6.49
5/14/1929	97824	77213	6.95	6.74
5/15/1929	113218	93207	7.29	6.95
5/16/1929	131435	110354	7.71	7.36
5/17/1929	134984	113945	7.99	7.69
5/18/1929	129989	109334	8.29	7.97
5/19/1929	130044	108875	8.57	8.33
5/20/1929	134193	109872	8.88	8.69
5/21/1929	146117	117673	9.18	8.99
5/22/1929	154400	120164	9.44	9.3
5/23/1929	184069	141157	9.85	9.68
5/24/1929	223791	169964	9.85	9.9
5/25/1929	229718	180707	9.96	10.23
5/26/1929	233692	184683	10.41	10.28
5/27/1929	221617	182059	10.9	10.59
5/28/1929	203576	169638	11.12	10.94
5/29/1929	182967	151720	11.38	11.42
5/30/1929	180178	137324	11.56	11.65
5/31/1929	183674	134470	11.36	11.88
6/1/1929	98448	49116	11.45	12.06
6/2/1929	149804	85771	11.46	11.84
6/3/1929	179227	94898	12.25	11.92
6/4/1929	188372	107660	12.52	12.4
6/5/1929	180818	97273	12.53	12.95
6/6/1929	173008	93702	12.78	12.92
6/7/1929	169024	82903	13.52	12.98
6/8/1929	180095	86419	13.92	13.36
6/9/1929	192000	99411	14.47	13.86
6/10/1929	202205	111192	14.63	14.49
6/11/1929	198255	109560	14.16	14.74
6/12/1929	192808	106173	14	14.89
6/13/1929	189535	102900	13.85	14.44
6/14/1929	191284	106194	13.85	14.32
6/15/1929	185851	106168	14	14.22
6/16/1929	182851	104714	13.89	14.09
6/17/1929	176863	104392	13.92	14.13
6/18/1929	157001	90710	13.84	14.24
6/19/1929	145254	92122	13.69	14.19
6/20/1929	131664	77414	13.75	14.24
6/21/1929	131264	76414	13.95	14.3
6/22/1929	123599	68749	14.1	14.28
6/23/1929	115047	60197	14.32	14.18
6/24/1929	110120	55270	14.47	14.28
6/25/1929	110608	55759	14.85	14.47
6/26/1929	108737	53887	15.1	14.6
6/27/1929	109605	54755	15.21	14.68
6/28/1929	109375	54524	15.45	14.97
6/29/1929	103985	49135	15.52	15.02
6/30/1929	100204	45354	15.7	15.42
7/1/1929	132572	111907	15.79	15.47
7/2/1929	126300	105635	15.95	15.72
7/3/1929	123713	104881	16.01	15.81
7/4/1929	151967	105525	16.11	15.98
7/5/1929	137246	90803	16.19	16.14
7/6/1929	126972	85534	16.26	16.15
7/7/1929	112288	71580	16.49	16.27
7/8/1929	111414	69491	16.56	16.42
7/9/1929	113091	68982	16.65	16.43
7/10/1929	112473	67150	16.75	16.51
7/11/1929	111885	65834	16.79	16.66
7/12/1929	105107	57599	16.97	16.72
7/13/1929	94771	56109	17.06	16.8
7/14/1929	95677	47928	17.14	16.89
7/15/1929	105387	50244	17.26	17
7/16/1929	111784	61604	17.3	17.06
7/17/1929	110801	63293	17.3	17.13
7/18/1929	110939	62459	17.33	17.21
7/19/1929	116880	65001	17.42	17.36
7/20/1929	125223	75239	17.27	17.44
7/21/1929	116811	70368	17.33	17.51
7/22/1929	105248	58805	17.25	17.56
7/23/1929	93717	52377	17.23	17.63
7/24/1929	86377	52092	17.28	17.72
7/25/1929	91315	44613	17.08	17.73
7/26/1929	102097	54884	17.2	17.74
7/27/1929	100196	56087	17.16	17.78
7/28/1929	89388	51450	17.16	17.9
7/29/1929	89992	49670	17.26	18.01
7/30/1929	99451	53642	17.41	18.07
7/31/1929	102971	53520	17.52	18.16
8/1/1929	134507	99927	17.65	18.26
8/2/1929	131822	99427	17.8	18.36
8/3/1929	128966	109564	17.91	18.42
8/4/1929	129167	110647	18	18.35
8/5/1929	126280	107760	18.34	18.46
8/6/1929	124435	105915	18.49	18.39
8/7/1929	121886	103366	18.6	18.44
8/8/1929	125460	106940	18.66	18.45
8/9/1929	128493	109973	18.76	18.41
8/10/1929	127850	109330	18.92	18.44
8/11/1929	129058	110538	18.99	18.38
8/12/1929	130663	112143	19.1	18.5
8/13/1929	124879	106359	19.25	18.45
8/14/1929	122445	103925	19.31	18.51
8/15/1929	121239	102719	19.32	18.61
8/16/1929	108869	96350	19.34	18.66
8/17/1929	103469	90950	19.46	18.73
8/18/1929	105042	92522	19.52	18.79
8/19/1929	109416	96896	19.53	18.88
8/20/1929	109481	96962	19.55	18.92
8/21/1929	106983	94463	19.58	19.02
8/22/1929	99986	87467	19.56	19.22
8/23/1929	95420	82900	19.55	19.36
8/24/1929	96642	84122	19.48	19.36
8/25/1929	98849	86330	19.49	19.43
8/26/1929	98338	85818	19.68	19.52
8/27/1929	96166	83647	19.78	19.59
8/28/1929	103790	91270	19.73	19.7
8/29/1929	111251	98731	19.74	19.81
8/30/1929	113835	101316	19.81	19.93
8/31/1929	116748	104229	19.78	19.96
9/1/1929	107114	97544	19.69	19.97
9/2/1929	97215	87646	19.62	19.97
9/3/1929	91936	82366	19.5	20.01
9/4/1929	89581	80011	19.4	20.03
9/5/1929	89050	79481	19.31	20.03
9/6/1929	89911	80341	19.17	19.98
9/7/1929	88005	78435	19.13	19.9
9/8/1929	86476	76907	19.16	19.84
9/9/1929	82946	73376	19.2	19.91
9/10/1929	80106	70536	19.28	19.78
9/11/1929	76976	67407	19.34	19.77
9/12/1929	76754	67184	19.44	19.73
9/13/1929	76928	67358	19.48	19.66
9/14/1929	75855	66286	19.49	19.61
9/15/1929	74029	64459	19.47	19.53
9/16/1929	73068	63498	19.45	19.44
9/17/1929	71904	62335	19.35	19.37
9/18/1929	71687	62117	19.29	19.35
9/19/1929	72046	62476	19.24	19.35
9/20/1929	72131	62562	19.21	19.38
9/21/1929	71682	62112	19.15	19.29
9/22/1929	68963	59393	19.05	19.2
9/23/1929	64781	55212	18.94	19.12
9/24/1929	63216	53646	18.88	19.01
9/25/1929	65702	56132	18.79	18.88
9/26/1929	63678	54109	18.74	18.8
9/27/1929	63025	53455	18.65	18.73
9/28/1929	61662	52092	18.53	18.67
